,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
492,Mahindra,Bolero SLX 2WD,379000,2012,88500,Diesel,Manual,Panchkula,White,Second,Individual,,,,,,,,,
509,Mercedes-Benz,C-Class C 250 CDI BlueEFFICIENCY,1044999,2012,75000,Diesel,Automatic,Mumbai,White,Second,Individual,,,,,,,,,
510,Lamborghini,Huracan LP 610-4,24000000,2016,6000,Petrol,Automatic,Delhi,Blue,First,Individual,5204 cc,602 bhp @ 8250 rpm,560 Nm @ 6500 rpm,AWD,4459.0,1924.0,1165.0,2.0,
571,Volkswagen,Vento Highline Petrol AT,345000,2011,50667,Petrol,Automatic,Mumbai,White,Second,Individual,,,,,,,,,
612,Audi,A4 2.0 TDI Sline,745000,2013,72000,Diesel,Automatic,Gurgaon,Black,First,Individual,,,,,,,,,
633,Volkswagen,Vento Trendline Diesel,360000,2012,80000,Diesel,Manual,Chandigarh,White,Second,Individual,,,,,,,,,
639,Tata,Tigor EV XZ Plus,1275000,2021,18000,Electric,Automatic,Hyderabad,Grey,First,Individual,,,,FWD,3993.0,1677.0,1532.0,5.0,
642,Jaguar,XF 3.0 V6 Premium Luxury,3350000,2014,49235,Diesel,Automatic,Bangalore,Purple,First,Individual,,,,,,,,,
648,Volkswagen,Polo Comfortline 1.2L (D),375000,2012,78000,Diesel,Manual,Raipur,Grey,Third,Individual,,,,,,,,,
715,Mahindra,Bolero Power Plus ZLX [2016-2019],850000,2018,83000,Diesel,Manual,Jalandhar,White,First,Individual,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
722,Honda,Brio E MT,250000,2013,70000,Petrol,Manual,Dehradun,Grey,First,Individual,,,,,,,,,
727,Jaguar,XF 3.0 V6 Premium Luxury,2650000,2015,62645,Diesel,Automatic,Hyderabad,Bronze,First,Individual,,,,,,,,,
729,Jaguar,XF R 5.0 V8 Supercharged,2800000,2011,70662,Petrol,Automatic,Pune,Grey,Second,Individual,,,,,,,,,
774,BMW,X5 xDrive 30d,3995000,2016,39000,Diesel,Automatic,Mumbai,White,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
809,Hyundai,i20 Sportz 1.2 (O),335000,2013,80500,Petrol,Manual,Ambala Cantt,White,First,Individual,,,,,,,,,
814,Hyundai,i20 Magna 1.2,250000,2011,75431,Petrol,Manual,Mumbai,Grey,First,Individual,,,,,,,,,
824,Honda,City 1.5 EXi,100000,2002,65494,Petrol,Manual,Ranchi,Beige,First,Individual,,,,,,,,,
837,Porsche,Panamera 3.0 Diesel,6350000,2016,20500,Diesel,Automatic,Delhi,White,First,Corporate,,,,,,,,,
868,BMW,5-Series 525d Sedan,975000,2011,61000,Diesel,Automatic,Mohali,Silver,Third,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
872,BMW,X5 xDrive 30d,3550000,2015,59000,Diesel,Automatic,Chandigarh,Bronze,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
879,Toyota,Commuter HiAce 3.0 L,3100000,2014,65000,Diesel,Automatic,Ludhiana,White,First,Individual,,,,,,,,,
884,Maruti Suzuki,Baleno Alpha (O) 1.2,975000,2022,5000,Petrol,Manual,Delhi,White,First,Individual,,,,,,,,,
895,Audi,A4 2.0 TDI (143 bhp),1150000,2012,40031,Diesel,Automatic,Pune,Blue,Second,Individual,,,,,,,,,
898,Tata,Tigor EV XZ Plus,1250000,2021,3000,Electric,Automatic,Hyderabad,Green,First,Individual,,,,FWD,3993.0,1677.0,1532.0,5.0,
904,Volkswagen,Jetta 1.9L TDI,310000,2009,107879,Diesel,Manual,Pune,White,Second,Individual,,,,,,,,,
909,Tata,Nexon EV XZ Plus,1450000,2022,5000,Electric,Automatic,Mumbai,Blue,First,Individual,,,,FWD,3993.0,1811.0,1606.0,5.0,
937,Hyundai,i20 Sportz 1.2 (O),275000,2011,45000,Petrol,Manual,Delhi,White,First,Individual,,,,,,,,,
972,Mercedes-Benz,C-Class 220 CDI Sport,1100000,2012,73000,Diesel,Automatic,Kanpur,White,First,Individual,,,,,,,,,
991,Nissan,Teana 250XL,550000,2013,33000,Petrol,Automatic,Pune,Red,First,Individual,,,,,,,,,
1019,BMW,3-Series 320d Sport Line [2014-2016],2000000,2014,82000,Diesel,Automatic,Mohali,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,
1033,Volkswagen,Vento Highline Petrol,275000,2011,80000,Petrol,Manual,Delhi,White,Second,Individual,,,,,,,,,
1046,Lexus,LX SUV Petrol,2100000,2007,34000,Petrol,Automatic,Mumbai,Maroon,Second,Corporate,,,,,,,,,
1061,BMW,3-Series 320d Highline Sedan,1200000,2012,125000,Diesel,Automatic,Ahmedabad,White,First,Individual,,,,,,,,,
1063,Mercedes-Benz,S-Class 280 AT,1200000,2000,65000,Petrol,Automatic,Dehradun,Yellow,Second,Individual,,,,,,,,,
1074,Hyundai,i20 Asta 1.2,299000,2011,30000,Petrol,Manual,Panvel,Blue,Third,Individual,,,,,,,,,
1077,Land Rover,Discovery 3.0 TDV6 HSE,4390000,2013,91840,Diesel,Automatic,Mumbai,Blue,Second,Individual,,,,,,,,,
1080,BMW,5-Series 520d Modern Line,2299000,2014,58000,Diesel,Automatic,Mumbai,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1087,Audi,Q5 35 TDI Premium Plus,4000000,2018,66000,Diesel,Automatic,Chennai,White,First,Individual,,,,,,,,,
1095,Honda,Civic 1.8V MT,777000,2014,9212,Petrol,Manual,Patna,Grey,First,Individual,,,,,,,,,
1106,Volkswagen,Polo Comfortline 1.2L (P),240000,2010,78000,Petrol,Manual,Ludhiana,White,Second,Individual,,,,,,,,,
1126,BMW,X5 xDrive30d Pure Experience (5 Seater),4175000,2016,27011,Diesel,Automatic,Chandigarh,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
1146,BMW,7-Series 730Ld,3200000,2014,133273,Diesel,Automatic,Pune,Blue,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD,5219.0,1902.0,1481.0,4.0,
1149,Land Rover,Discovery 2.0 HSE 4WD Diesel,4700000,2020,22000,Diesel,Automatic,Delhi,Red,Second,Individual,1999 cc,237 bhp @ 4000 rpm,430 Nm @ 1400 rpm,AWD,4988.0,2220.0,1846.0,5.0,
1177,BMW,5-Series 525d Luxury Plus,1600000,2013,70000,Diesel,Automatic,Mumbai,White,Second,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1219,BMW,5-Series 520d Modern Line,2250000,2014,88000,Diesel,Automatic,Bangalore,Black,Third,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1254,BMW,3-Series 320d Luxury Line [2014-2016],2100000,2014,103000,Diesel,Automatic,Lucknow,Black,Second,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,
1269,Mercedes-Benz,CLA 200 CDI Sport,2800000,2018,24000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630.0,1777.0,1432.0,5.0,
1283,BMW,X5 xDrive 30d M Sport,5900000,2017,83985,Diesel,Automatic,Pune,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
1294,BMW,5-Series 525d Luxury Plus,2280000,2014,68000,Diesel,Automatic,Pune,Blue,First,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1298,BMW,X5 xDrive 30d Expedition,4800000,2017,35000,Diesel,Automatic,Delhi,Black,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1312,Tata,Nexon EV XZ Plus,1485000,2020,10000,Electric,Automatic,Mumbai,Blue,First,Individual,,,,FWD,3993.0,1811.0,1606.0,5.0,
1334,Volkswagen,Polo Trendline 1.2L (P),345000,2011,101923,Petrol,Manual,Bangalore,White,Second,Individual,,,,,,,,,
1397,Audi,A4 2.0 TDI Technology,1150000,2013,30000,Diesel,Automatic,Delhi,Silver,Second,Individual,,,,,,,,,
1403,BMW,X5 xDrive 30d,2975000,2015,87000,Diesel,Automatic,Mohali,Blue,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1438,Audi,A4 2.0 TDI Sline,975000,2012,56000,Diesel,Automatic,Delhi,White,Second,Individual,,,,,,,,,
1442,Hyundai,i20 Magna 1.2,245000,2011,41000,Petrol,Manual,Delhi,Red,First,Individual,,,,,,,,,
1449,BMW,5-Series 525d Sedan,1295000,2011,56000,Diesel,Automatic,Mumbai,Grey,First,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1527,Honda,CR-V 2.4 AT,844999,2014,80121,Petrol,Automatic,Mumbai,White,Second,Individual,,,,,,,,,
1533,Mercedes-Benz,E-Class 200,7050000,2022,1102,Petrol,Manual,Bangalore,Black,UnRegistered Car,Individual,,,,,,,,,
1574,Maruti Suzuki,Ritz VXI BS-IV,265000,2011,28000,Petrol,Manual,Mumbai,Silver,First,Individual,,,,,,,,,
1583,Mercedes-Benz,CLA 200 CDI Sport (CBU),2825000,2018,23000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630.0,1777.0,1432.0,5.0,
1631,Mahindra,Bolero SLE BS III,650000,2017,62000,Diesel,Manual,Lucknow,White,First,Individual,2523 cc,63 bhp @ 3200 rpm,195 Nm @ 1400 rpm,RWD,4107.0,1745.0,1880.0,7.0,
1634,Maruti Suzuki,Ritz VXI BS-IV,204999,2011,42152,Petrol,Manual,Siliguri,Brown,First,Corporate,,,,,,,,,
1656,Hyundai,i20 Sportz 1.2 BS-IV,350000,2011,84873,Petrol,Manual,Indore,Red,Second,Individual,,,,,,,,,
1677,BMW,3-Series 320d Luxury Line [2014-2016],3750000,2019,42500,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,
1682,Maruti Suzuki,Ritz VXI BS-IV,190000,2011,58888,Petrol,Manual,Delhi,Maroon,Second,Individual,,,,,,,,,
1741,Mercedes-Benz,CLA 200 Petrol Sport,1975000,2015,19000,Petrol,Automatic,Pune,White,First,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD,4630.0,1777.0,1432.0,5.0,
1771,Porsche,Panamera 3.0 Diesel,5590000,2015,33000,Diesel,Automatic,Delhi,White,First,Individual,,,,,,,,,
1814,Maruti Suzuki,Alto VXI,385000,2019,2200,Petrol,Manual,Mumbai,White,First,Individual,,,,,,,,,
1859,Maruti Suzuki,Zen LX,130000,1996,100000,Petrol + LPG,Manual,Coimbatore,White,Second,Individual,,,,,,,,,
1865,BMW,X5 xDrive 30d,7998999,2020,20000,Diesel,Automatic,Kolkata,Grey,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1898,Maruti Suzuki,Alto VXI,316000,2019,17491,Petrol,Manual,Kolkata,Others,First,Individual,,,,,,,,,
1903,Hyundai,i20 Magna 1.2,250000,2012,72000,Petrol,Manual,Mumbai,White,Third,Individual,,,,,,,,,
1906,MG,ZS EV Exclusive [2020-2021],2100000,2020,38500,Electric,Automatic,Delhi,Blue,First,Individual,,,,FWD,4314.0,1809.0,1620.0,5.0,
1928,Porsche,Cayenne 3.2 V6 Petrol,3600000,2014,43000,Petrol,Automatic,Mumbai,White,Second,Individual,,,,,,,,,
1939,Mahindra,Bolero Power Plus ZLX [2016-2019],665000,2017,92000,Diesel,Manual,Lucknow,Green,First,Individual,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
1944,Mahindra,Bolero Power Plus ZLX,875000,2019,70000,Diesel,Manual,Dak. Kannada,White,Second,Individual,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
1952,BMW,X5 xDrive 30d,4175000,2016,27011,Diesel,Automatic,Karnal,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
1979,BMW,X5 xDrive 30d M Sport,5500000,2017,68690,Diesel,Automatic,Hyderabad,Blue,First,Corporate,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
2008,BMW,X5 xDrive 30d,4690000,2018,75000,Diesel,Automatic,Delhi,Blue,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,7.0,
2009,Audi,A4 2.0 TDI Sline,775000,2012,89000,Diesel,Automatic,Mohali,Black,Second,Individual,,,,,,,,,
2017,Mahindra,Bolero Power Plus ZLX,770000,2019,27500,Diesel,Manual,Varanasi,White,First,Individual,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
2019,BMW,X5 xDrive 30d M Sport,2975000,2015,87000,Diesel,Automatic,Mohali,Grey,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
2025,Honda,Accord 2.4 iVtec AT,195000,2008,57885,Petrol,Automatic,Delhi,Beige,First,Individual,,,,,,,,,
2032,Land Rover,Range Rover Velar 2.0 S Petrol 250,8900000,2020,88000,Petrol,Automatic,Mumbai,White,First,Individual,1997 cc,247 bhp @ 5500 rpm,365 Nm @ 1500 rpm,AWD,4797.0,2032.0,1665.0,5.0,
2058,Mahindra,Bolero Power Plus ZLX [2016-2019],670000,2017,72000,Diesel,Manual,Guwahati,White,First,Individual,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
